username,komentar,waktu,varian
Asad,awet. bersih bersih rumah. bersih rapi.,Lebih dari 1 tahun lalu,Varian: Hijau
Iwan,"ringkas, memudahkan pekerjaan rt",Lebih dari 1 tahun lalu,Varian: Hijau
Nanang,awet. bersih rapi. bersih bersih rumah.,Lebih dari 1 tahun lalu,Varian: Hijau
G***s,barang n respon seller nya OK tapi pengirimannya lama..alasannya overload,Lebih dari 1 tahun lalu,Varian: Hijau
Jihan,"Pengiriman cepat sampai, barang pun berfungsi dengan baik",Lebih dari 1 tahun lalu,Varian: Beige
Lilik,praktis,Lebih dari 1 tahun lalu,Varian: Hijau
Hetty,Harga murah,Lebih dari 1 tahun lalu,Varian: Hijau
adi,produk Oke sesuai harga,Lebih dari 1 tahun lalu,Varian: Hijau
sugeng,awet. bersih rapi.,Lebih dari 1 tahun lalu,Varian: Hijau
a***i,brg diterima dgn baik,Lebih dari 1 tahun lalu,Varian: Beige
Zur,"produk bagus sesuai dengan deskripsi, pengiriman jauh dari Jawa ke Sumbar, selamat sampai di tempat. terimakasih seller",Lebih dari 1 tahun lalu,Varian: Hijau
N***a,ok,Lebih dari 1 tahun lalu,Varian: Hijau
LIA,thank you seller.. kirim cepat.. packing baik.. produk bagus..,Lebih dari 1 tahun lalu,Varian: Hijau
T***u,barang oke,Lebih dari 1 tahun lalu,Varian: Beige
Jacki,Really really bad quality. I do not recommend to buy it. Unfortunately I can't open a complaint anymore as I just washed the first time 3 days after receiving the pro... ,Lebih dari 1 tahun lalu,Varian: Beige
denny,oke,Lebih dari 1 tahun lalu,Varian: Beige
Supriyadi,wkwkwkwk dibeliin alat pel aja seneng wkwkwk,Lebih dari 1 tahun lalu,Varian: Hijau
Juragan,dibandingkan dengan yg seharga yg ini bagus barangnya recomended,Lebih dari 1 tahun lalu,Varian: Beige
R***d,"Baik sekali, produk sesuai dengan deskripsi",Lebih dari 1 tahun lalu,Varian: Hijau
Haryo,Produk jelek cepet rusak. Kain pel nya cepet copot sama gagang nya Seller juga tdk responsive. Hanya janji2 mau kirim. Sampai saya complain dlu baru AKHIRNYA di kirim.... ,Lebih dari 1 tahun lalu,Varian: Hijau
Eko,ok,Lebih dari 1 tahun lalu,Varian: Hijau
E***i,oke,Lebih dari 1 tahun lalu,Varian: Hijau
E***o,"Baik sekali, produk sesuai dengan deskripsi",Lebih dari 1 tahun lalu,Varian: Beige
R***d,Bgussss,Lebih dari 1 tahun lalu,Varian: Hijau
Nico,"alhamdulillah barang udah sampai dengan selamata, walaupun kardus nya udah penyok2 takut barang pecah, tapi aman semua pngiriman nya aja yg agak lama tapi gpp maklum reco... ",Lebih dari 1 tahun lalu,Varian: Hijau
Yahya,lumayan.. tapi kualitas lapnya kurang maksimal.. sesuai lah sama harga nya,Lebih dari 1 tahun lalu,Varian: Hijau
I,kalo kain pelnya lebih tebal mungkin lebih bagus,Lebih dari 1 tahun lalu,Varian: Hijau
F***y,Terima kasih,Lebih dari 1 tahun lalu,Varian: Hijau
F***i,"produk ok, sesuai gmbar",Lebih dari 1 tahun lalu,Varian: Hijau
Adhe,Keren,Lebih dari 1 tahun lalu,Varian: Hijau
Yana,kainnya tidak ada,Lebih dari 1 tahun lalu,Varian: Beige
Anton,mantappp,Lebih dari 1 tahun lalu,Varian: Beige
Abdul,"tidak puas,",Lebih dari 1 tahun lalu,Varian: Beige
yusniar,good stuff..really easy to mop the floor..,Lebih dari 1 tahun lalu,Varian: Hijau
Agnes,"proses dari a sampai z, mantul. semoga awet.",Lebih dari 1 tahun lalu,Varian: Beige
Freddy,Saya pikir gratis 2 kain itu = jadi dapet 3. Ternyata ya cuma 2. Tau gitu beli dari tetangga lebih murah.,Lebih dari 1 tahun lalu,Varian: Hijau
putro,"barang sih ok, pengiriman cepat, tp yg saya bingung fungsi dari alat yg saya foto.... ada yg tau?",Lebih dari 1 tahun lalu,Varian: Hijau
Kuat,mantap semoga awet ini barang,Lebih dari 1 tahun lalu,Varian: Hijau
k***a,lumayan,Lebih dari 1 tahun lalu,Varian: Beige
Arnez,barang sudah sampai.. smoga awet .. thx kurir n seller,Lebih dari 1 tahun lalu,Varian: Beige
A***a,alat pel kecil sekali. 😁😊,Lebih dari 1 tahun lalu,Varian: Hijau
T***y,fast respon...sesuai diskripsi..semoga awet...terima kasih pelapak...tokopedia dan tentunya kurir....,Lebih dari 1 tahun lalu,Varian: Hijau
Bremana,kurang lekat dibagian bawahnya jd cepet copot,Lebih dari 1 tahun lalu,Varian: Hijau
Dewi,ada yang pesok tapi masih bisa di perbaiki tapi mantap pengiriman cepat makasi kak next order lagi😁😁,Lebih dari 1 tahun lalu,Varian: Beige
Mukhammad,"barang sih standard ya, sesuai harga. yg mengecewkan pelayanannya. pembelian pertama.ok,.yg ke 2 asli php banget..ini dah hari ke 6,.blom dikirim.Klo ditanya jawabnya har... ",Lebih dari 1 tahun lalu,Varian: Hijau
L***s,mantab.. sukses ya,Lebih dari 1 tahun lalu,Varian: Hijau
echa,"produk bagus, sesuai pesanan.",Lebih dari 1 tahun lalu,Varian: Hijau
Risyda,sizenya terlalu kecil,Lebih dari 1 tahun lalu,Varian: Hijau
Dewi,barang bagus..,Lebih dari 1 tahun lalu,Varian: Hijau
S***n,baguusssss,Lebih dari 1 tahun lalu,Varian: Hijau
L***i,"bagus, barang dikirim lengkap",Lebih dari 1 tahun lalu,Varian: Hijau
a***m,"Mantep,istri saya suka bgt",Lebih dari 1 tahun lalu,Varian: Hijau
Digital,kualitas barang oke,Lebih dari 1 tahun lalu,Varian: Hijau
Rika,gagang patah padahal gak di tekan kuat..,Lebih dari 1 tahun lalu,Varian: Hijau
Dani,"proses nya cepet, cuman kendala di dry nya, suka kelepas kain pelnya, mohon untuk perekatnya di tambah",Lebih dari 1 tahun lalu,Varian: Hijau
A***e,"good build quality, easy to install, affordable price",Lebih dari 1 tahun lalu,Varian: Hijau
Sigit,barang sesuai pesanan...sampai barang cepat..terima kasih,Lebih dari 1 tahun lalu,Varian: Hijau
S***y,good,Lebih dari 1 tahun lalu,Varian: Hijau
E***y,"Pengiriman cepat, barang sesuai deskripsi, hanya material plastiknya tipis dan agak ringkih, mudah2an awet",Lebih dari 1 tahun lalu,Varian: Beige
Enjang,ok,Lebih dari 1 tahun lalu,Varian: Hijau
Budi,"barang bagus, tanpa cacat . pengiriman aman . cuma tolong diperbaiki aja buat proses pesanannya . selebihnya oke .",Lebih dari 1 tahun lalu,Varian: Hijau
H***s,tidak bisa dipakai scr efektif,Lebih dari 1 tahun lalu,Varian: Hijau
F***a,😊,Lebih dari 1 tahun lalu,Varian: Hijau
gandul,"tidak ada kain pelnya satupun,katanya dpt 2. syng lupa di videoin jd ga bs komplain.lain kali seblom kirim harap di cek ulang,jangan smpai terulang lagi,kasian yang BELI.",Lebih dari 1 tahun lalu,Varian: Beige
Christy,"barangnya bagus, sesuai harapan deh... enak digunakannya. Penjual juga gercep.",Lebih dari 1 tahun lalu,Varian: Hijau
Fiqih,sudah diterima dg baik.. tinggal dicoba,Lebih dari 1 tahun lalu,Varian: Beige
A***f,barang tidak bagus,Lebih dari 1 tahun lalu,Varian: Hijau
R***y,,Lebih dari 1 tahun lalu,Varian: Hijau
Yuli,"brg belum di coba,tapi sepertinya nya gak masalah, pemasangan cukup mudah.",Lebih dari 1 tahun lalu,Varian: Hijau
arief,👍👍👍,Lebih dari 1 tahun lalu,Varian: Hijau
